organization,user,number,is_pr,state,created_at,updated_at,closed_at,repo
datacarpentry,pmarchand1,215,TRUE,closed,2018-04-13T20:42:05Z,2018-04-16T21:48:22Z,2018-04-16T21:22:56Z,sql-ecology-lesson
datacarpentry,pmarchand1,214,FALSE,open,2018-04-13T19:54:52Z,2018-04-16T21:17:47Z,NA,sql-ecology-lesson
datacarpentry,remram44,212,TRUE,closed,2018-03-15T21:12:31Z,2018-04-13T16:30:37Z,2018-04-13T16:30:25Z,sql-ecology-lesson
datacarpentry,mkweskin,210,FALSE,closed,2018-03-08T11:55:44Z,2018-04-13T16:30:25Z,2018-04-13T16:30:25Z,sql-ecology-lesson
datacarpentry,remram44,204,TRUE,closed,2018-01-30T20:40:57Z,2018-04-16T21:25:01Z,2018-04-16T21:22:58Z,sql-ecology-lesson
datacarpentry,remram44,202,FALSE,closed,2018-01-03T19:34:42Z,2018-04-18T23:27:11Z,2018-04-13T20:04:40Z,sql-ecology-lesson
datacarpentry,nek555,187,TRUE,closed,2017-08-06T04:34:03Z,2018-04-16T21:52:01Z,2018-04-16T21:29:44Z,sql-ecology-lesson
datacarpentry,ErinBecker,179,FALSE,open,2017-05-09T18:02:37Z,2018-04-13T20:44:19Z,NA,sql-ecology-lesson
datacarpentry,fmichonneau,234,FALSE,closed,2018-04-17T21:52:23Z,2018-04-18T14:26:10Z,2018-04-18T14:26:10Z,spreadsheet-ecology-lesson
datacarpentry,tracykteal,233,TRUE,closed,2018-04-13T23:11:07Z,2018-04-16T21:31:52Z,2018-04-16T21:31:52Z,spreadsheet-ecology-lesson
datacarpentry,tracykteal,232,TRUE,closed,2018-04-13T20:37:04Z,2018-04-16T21:31:34Z,2018-04-16T21:31:25Z,spreadsheet-ecology-lesson
datacarpentry,tracykteal,231,TRUE,open,2018-04-13T17:53:12Z,2018-04-13T23:17:14Z,NA,spreadsheet-ecology-lesson
datacarpentry,ctb,230,FALSE,open,2018-04-11T14:02:30Z,2018-04-11T15:43:12Z,NA,spreadsheet-ecology-lesson
datacarpentry,mjones01,229,TRUE,closed,2018-04-09T18:14:56Z,2018-04-09T18:40:31Z,2018-04-09T18:40:31Z,spreadsheet-ecology-lesson
datacarpentry,hoytpr,227,FALSE,open,2018-03-27T17:56:05Z,2018-04-18T14:25:35Z,NA,spreadsheet-ecology-lesson
datacarpentry,tylerjrichards,222,FALSE,closed,2017-12-17T20:26:01Z,2018-04-11T14:35:55Z,2018-04-11T14:35:54Z,spreadsheet-ecology-lesson
datacarpentry,agbeltran,209,FALSE,open,2017-07-26T13:29:22Z,2018-04-18T14:25:37Z,NA,spreadsheet-ecology-lesson
datacarpentry,agbeltran,206,FALSE,open,2017-07-26T12:14:33Z,2018-04-18T14:25:37Z,NA,spreadsheet-ecology-lesson
