owner,repo,timestamp,count,uniques
datacarpentry,sql-ecology-lesson,2018-04-12T00:00:00Z,21,13
datacarpentry,sql-ecology-lesson,2018-04-13T00:00:00Z,44,17
datacarpentry,sql-ecology-lesson,2018-04-14T00:00:00Z,8,7
datacarpentry,sql-ecology-lesson,2018-04-15T00:00:00Z,20,13
datacarpentry,sql-ecology-lesson,2018-04-16T00:00:00Z,32,10
datacarpentry,sql-ecology-lesson,2018-04-17T00:00:00Z,27,20
datacarpentry,sql-ecology-lesson,2018-04-18T00:00:00Z,21,17
datacarpentry,sql-ecology-lesson,2018-04-19T00:00:00Z,21,14
datacarpentry,sql-ecology-lesson,2018-04-20T00:00:00Z,34,21
datacarpentry,sql-ecology-lesson,2018-04-21T00:00:00Z,3,3
datacarpentry,sql-ecology-lesson,2018-04-22T00:00:00Z,23,14
datacarpentry,sql-ecology-lesson,2018-04-23T00:00:00Z,43,31
datacarpentry,sql-ecology-lesson,2018-04-24T00:00:00Z,32,27
datacarpentry,sql-ecology-lesson,2018-04-25T00:00:00Z,30,21
datacarpentry,spreadsheet-ecology-lesson,2018-04-12T00:00:00Z,7,5
datacarpentry,spreadsheet-ecology-lesson,2018-04-13T00:00:00Z,71,6
datacarpentry,spreadsheet-ecology-lesson,2018-04-14T00:00:00Z,2,2
datacarpentry,spreadsheet-ecology-lesson,2018-04-15T00:00:00Z,2,1
datacarpentry,spreadsheet-ecology-lesson,2018-04-16T00:00:00Z,22,9
datacarpentry,spreadsheet-ecology-lesson,2018-04-17T00:00:00Z,1,1
datacarpentry,spreadsheet-ecology-lesson,2018-04-18T00:00:00Z,17,3
datacarpentry,spreadsheet-ecology-lesson,2018-04-19T00:00:00Z,7,2
datacarpentry,spreadsheet-ecology-lesson,2018-04-22T00:00:00Z,18,1
datacarpentry,spreadsheet-ecology-lesson,2018-04-23T00:00:00Z,6,4
datacarpentry,spreadsheet-ecology-lesson,2018-04-25T00:00:00Z,2,2
datacarpentry,python-ecology-lesson,2018-04-12T00:00:00Z,52,12
datacarpentry,python-ecology-lesson,2018-04-13T00:00:00Z,83,19
datacarpentry,python-ecology-lesson,2018-04-14T00:00:00Z,24,9
datacarpentry,python-ecology-lesson,2018-04-15T00:00:00Z,17,9
datacarpentry,python-ecology-lesson,2018-04-16T00:00:00Z,20,10
datacarpentry,python-ecology-lesson,2018-04-17T00:00:00Z,87,13
datacarpentry,python-ecology-lesson,2018-04-18T00:00:00Z,39,11
datacarpentry,python-ecology-lesson,2018-04-19T00:00:00Z,11,6
datacarpentry,python-ecology-lesson,2018-04-20T00:00:00Z,8,4
datacarpentry,python-ecology-lesson,2018-04-21T00:00:00Z,9,3
datacarpentry,python-ecology-lesson,2018-04-22T00:00:00Z,7,6
datacarpentry,python-ecology-lesson,2018-04-23T00:00:00Z,20,10
datacarpentry,python-ecology-lesson,2018-04-24T00:00:00Z,110,11
datacarpentry,python-ecology-lesson,2018-04-25T00:00:00Z,51,14
datacarpentry,shell-genomics,2018-04-13T00:00:00Z,188,9
datacarpentry,shell-genomics,2018-04-14T00:00:00Z,9,1
datacarpentry,shell-genomics,2018-04-16T00:00:00Z,2,2
datacarpentry,shell-genomics,2018-04-17T00:00:00Z,6,1
datacarpentry,shell-genomics,2018-04-20T00:00:00Z,1,1
datacarpentry,shell-genomics,2018-04-22T00:00:00Z,2,1
datacarpentry,shell-genomics,2018-04-23T00:00:00Z,8,3
datacarpentry,shell-genomics,2018-04-24T00:00:00Z,1,1
datacarpentry,shell-genomics,2018-04-25T00:00:00Z,12,2
datacarpentry,R-genomics,2018-04-12T00:00:00Z,5,2
datacarpentry,R-genomics,2018-04-13T00:00:00Z,14,7
datacarpentry,R-genomics,2018-04-15T00:00:00Z,3,2
datacarpentry,R-genomics,2018-04-16T00:00:00Z,7,4
datacarpentry,R-genomics,2018-04-22T00:00:00Z,1,1
datacarpentry,R-genomics,2018-04-23T00:00:00Z,1,1
datacarpentry,R-genomics,2018-04-24T00:00:00Z,6,3
datacarpentry,R-genomics,2018-04-25T00:00:00Z,4,2
datacarpentry,wrangling-genomics,2018-04-12T00:00:00Z,3,3
datacarpentry,wrangling-genomics,2018-04-13T00:00:00Z,20,7
datacarpentry,wrangling-genomics,2018-04-14T00:00:00Z,2,2
datacarpentry,wrangling-genomics,2018-04-15T00:00:00Z,1,1
datacarpentry,wrangling-genomics,2018-04-16T00:00:00Z,14,7
datacarpentry,wrangling-genomics,2018-04-17T00:00:00Z,29,8
datacarpentry,wrangling-genomics,2018-04-18T00:00:00Z,2,2
datacarpentry,wrangling-genomics,2018-04-19T00:00:00Z,4,3
datacarpentry,wrangling-genomics,2018-04-20T00:00:00Z,5,5
datacarpentry,wrangling-genomics,2018-04-21T00:00:00Z,2,2
datacarpentry,wrangling-genomics,2018-04-22T00:00:00Z,1,1
datacarpentry,wrangling-genomics,2018-04-23T00:00:00Z,1,1
datacarpentry,wrangling-genomics,2018-04-24T00:00:00Z,8,8
datacarpentry,wrangling-genomics,2018-04-25T00:00:00Z,3,3
datacarpentry,organization-genomics,2018-04-12T00:00:00Z,3,1
datacarpentry,organization-genomics,2018-04-13T00:00:00Z,75,5
datacarpentry,organization-genomics,2018-04-14T00:00:00Z,9,1
datacarpentry,organization-genomics,2018-04-15T00:00:00Z,9,1
datacarpentry,organization-genomics,2018-04-16T00:00:00Z,2,2
datacarpentry,organization-genomics,2018-04-23T00:00:00Z,9,2
datacarpentry,organization-genomics,2018-04-24T00:00:00Z,3,1
